id,on_street,cross_street,routes,routes_total,boardings,alightings,month_beginning,daytype,location
1766,DEVON,RIDGE,155,1,148.1,644.1,10/1/12,Weekday,"(41.99802106, -87.67671456)"
202,HALSTED,HARRISON,8,1,226.3,642.4,10/1/12,Weekday,"(41.87474629, -87.64703990)"
6163,ASHLAND,79TH STREET,9,1,803.7,640.7,10/1/12,Weekday,"(41.75023213, -87.66328350)"
5036,LAKE PARK,185' north of HYDE PARK,"2\,6\,28\,X28",4,177.7,639.8,10/1/12,Weekday,"(41.80337000, -87.58829300)"
758,NAVY PIER,TERMINAL,29,1,526.3,638.8,10/1/12,Weekday,"(41.89233194, -87.60999416)"
1113,STATE,VAN BUREN,"2\,10\,29\,130\,144\,145\,146\,147\,148",9,1050,630.4,10/1/12,Weekday,"(41.87684767, -87.62754254)"
2781,79TH STREET,KING DRIVE,79,1,502.4,630.1,10/1/12,Weekday,"(41.75105200, -87.61518000)"
11566,CENTRAL,"LAKE (""north"" leg)",85,1,50.4,629.2,10/1/12,Weekday,"(41.88789774, -87.76520240)"
14591,WESTERN,LAWRENCE,"11\,49\,49B",3,582.7,627.5,10/1/12,Weekday,"(41.96835624, -87.68907108)"
8337,WESTERN,ORANGE LINE STATION,94,1,433.9,625.1,10/1/12,Weekday,"(41.80533880, -87.68413531)"
14476,ASHLAND,ORANGE LINE STATION,9,1,702.6,624,10/1/12,Weekday,"(41.83903515, -87.66538640)"
9505,87TH STREET,ASHLAND,87,1,130.7,623,10/1/12,Weekday,"(41.73590429, -87.66288556)"
12543,ADDISON,RED LINE STATION,152,1,127.5,621.5,10/1/12,Weekday,"(41.94719704, -87.65363481)"
1188,SHERIDAN,BRYN MAWR,"136\,147\,151",3,152.9,618.3,10/1/12,Weekday,"(41.98359400, -87.65511300)"
14225,WACKER,STATE,"122\,123\,134\,135\,136",5,43.3,617.4,10/1/12,Weekday,"(41.88702684, -87.62814441)"
15903,CLARK,MADISON & MONROE,"22\,24\,129",3,210.5,616.4,10/1/12,Weekday,"(41.88138090, -87.63097160)"
